HM Revenue & Customs
District Heating - kWh
"**Please note: empty cells representing half-hourly consumption mean that there is no data available for that time; numbers followed by an 'E' are unreliable numbers"

Site Name,Utility,Unit,Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,Total
"100 Parliament Street, London",District Heating,kWh,2010-11-27,300,300,300,300,300,300,310,310,310,300,320,310,310,320,330,580,600,580,580,570,570,550,550,550,540,540,530,530,530,520,520,520,520,520,520,530,530,520,540,530,540,360,320,340,340,340,340,340,21110
"100 Parliament Street, London",District Heating,kWh,2010-11-28,340,370,370,380,390,370,380,380,380,380,390,390,390,410,410,690,720,710,720,710,730,690,680,660,650,640,630,620,620,600,600,590,610,600,620,620,620,620,610,610,610,410,380,400,380,390,380,370,25220
"100 Parliament Street, London",District Heating,kWh,2010-11-29,380,340,330,350,340,340,340,340,340,340,350,350,370,490,460,740,760,760,760,720,700,660,650,630,620,610,600,590,580,570,570,460,520,580,490,70,10,10,70,1000,1180,600,330,450,310,200,110,610,22980
"100 Parliament Street, London",District Heating,kWh,2010-11-30,390,310,270,320,320,310,340,340,310,340,330,40,10,0,10,940,1300,1020,550,560,590,580,550,520,510,520,510,470,490,490,490,490,530,490,460,780,380,710,910,710,620,390,480,290,280,190,580,350,22370
"100 Parliament Street, London",District Heating,kWh,2010-12-01,350,270,300,330,320,320,370,350,300,340,380,330,350,370,670,660,640,500,310,20,160,550,420,0,0,0,0,0,0,690,620,590,620,580,560,550,570,420,350,820,700,610,450,340,300,340,370,350,18440
"100 Parliament Street, London",District Heating,kWh,2010-12-02,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1130,1360,1080,1000,880,740,670,700,570,260,10,0,0,10,0,8450
"100 Parliament Street, London",District Heating,kWh,2010-12-03,0,10,0,10,0,10,0,10,0,0,0,10,0,120,1060,1220,930,0,70,600,820,980,1060,930,840,790,770,780,770,510,750,720,680,740,730,730,740,740,740,730,720,520,480,460,470,650,480,480,23860
"100 Parliament Street, London",District Heating,kWh,2010-12-04,480,470,480,470,480,460,480,470,460,460,460,460,450,450,450,770,780,760,750,740,720,730,700,690,700,660,660,650,650,640,640,640,640,630,620,630,620,620,620,620,610,400,380,390,400,390,400,390,27220
"100 Parliament Street, London",District Heating,kWh,2010-12-05,400,400,400,390,400,410,400,410,400,390,400,400,390,420,410,720,720,730,710,710,700,630,570,560,560,540,540,510,500,510,500,530,530,510,520,520,520,520,520,530,530,330,320,320,320,320,320,330,23220
"100 Parliament Street, London",District Heating,kWh,2010-12-06,330,340,330,320,320,330,320,360,340,350,340,340,350,390,360,670,680,730,690,650,630,600,580,570,550,550,550,530,530,520,520,520,530,510,510,520,530,540,560,560,560,370,330,330,330,330,340,330,22370
"100 Parliament Street, London",District Heating,kWh,2010-12-07,350,350,340,340,360,350,350,360,350,350,350,340,360,390,390,700,710,670,650,620,610,650,580,570,560,580,620,610,590,590,580,570,590,580,590,580,600,610,630,620,620,390,360,350,350,360,360,360,23740
"100 Parliament Street, London",District Heating,kWh,2010-12-08,360,370,370,370,370,370,360,380,380,380,370,370,370,430,480,760,760,740,720,700,680,650,640,620,620,590,590,590,580,570,560,560,560,570,570,580,590,590,610,610,620,390,350,350,340,350,360,360,24460
"100 Parliament Street, London",District Heating,kWh,2010-12-09,360,360,360,360,370,360,380,370,380,370,380,380,380,470,510,790,810,760,740,710,690,660,660,650,580,600,580,560,570,550,550,570,550,550,560,560,560,580,570,540,630,370,340,340,350,350,350,350,24370
"100 Parliament Street, London",District Heating,kWh,2010-12-10,350,370,350,360,360,350,360,360,370,370,470,460,460,480,480,770,750,750,720,700,650,620,580,590,570,570,560,530,530,530,520,510,510,510,510,520,510,520,530,530,530,310,270,270,280,270,280,280,23030
"100 Parliament Street, London",District Heating,kWh,2010-12-11,280,280,270,280,270,280,280,280,280,280,280,290,280,300,290,520,540,520,510,510,500,490,480,470,460,450,460,450,440,450,440,440,450,440,440,450,440,440,430,430,440,270,260,260,260,260,270,270,18160
"100 Parliament Street, London",District Heating,kWh,2010-12-12,280,280,280,280,280,280,290,290,280,290,350,310,330,330,330,570,580,580,600,470,10,560,1060,590,490,480,510,500,490,490,490,490,490,490,490,490,500,500,500,510,500,340,320,320,330,330,330,360,20240
"100 Parliament Street, London",District Heating,kWh,2010-12-13,350,310,300,300,300,310,300,300,310,310,310,310,330,470,430,690,680,680,670,650,630,620,590,580,560,550,530,530,520,510,520,470,500,490,490,490,500,510,520,520,530,300,270,270,270,280,270,270,21400
"100 Parliament Street, London",District Heating,kWh,2010-12-14,280,280,280,280,280,270,280,280,280,280,290,290,300,390,390,630,650,620,620,600,580,570,550,530,510,510,500,500,500,490,500,500,510,510,500,510,530,530,550,550,550,360,300,300,300,290,300,310,20710
"100 Parliament Street, London",District Heating,kWh,2010-12-15,320,310,310,310,310,310,320,320,320,320,310,320,350,410,470,710,710,710,690,660,660,650,610,590,570,560,550,540,520,520,520,510,500,510,490,500,510,510,520,530,530,350,290,280,290,290,300,300,21990
"100 Parliament Street, London",District Heating,kWh,2010-12-16,300,300,290,270,290,290,290,300,290,280,290,300,300,390,400,610,630,610,600,580,550,530,520,490,490,470,480,470,460,460,450,470,490,500,510,520,560,570,590,590,600,370,310,320,320,330,330,330,20690
"100 Parliament Street, London",District Heating,kWh,2010-12-17,330,350,340,340,360,350,350,340,360,350,360,380,390,480,520,800,800,770,770,740,710,710,680,670,660,680,680,680,690,680,660,670,650,660,650,650,660,680,670,680,670,400,360,360,350,360,360,360,26170
"100 Parliament Street, London",District Heating,kWh,2010-12-18,360,350,350,360,340,350,350,360,350,360,360,360,380,380,380,700,690,680,660,670,650,650,630,620,600,630,610,620,590,600,590,560,590,580,580,580,590,590,580,590,580,380,340,350,350,350,350,340,23860
"100 Parliament Street, London",District Heating,kWh,2010-12-19,350,380,390,380,400,400,400,410,410,400,390,400,410,410,420,740,720,740,740,720,720,710,690,690,680,680,660,660,650,640,640,640,650,650,640,660,650,660,650,650,640,440,410,420,410,420,410,410,26440
"100 Parliament Street, London",District Heating,kWh,2010-12-20,420,370,390,400,390,390,400,400,390,410,410,420,430,540,520,820,810,820,780,760,800,780,780,750,730,720,710,700,690,680,680,670,650,660,650,660,660,670,680,680,680,410,350,350,350,360,350,360,27480
"100 Parliament Street, London",District Heating,kWh,2010-12-21,370,350,360,370,360,360,360,370,350,360,370,370,400,450,480,790,780,770,760,730,710,670,680,670,660,650,660,660,650,620,640,620,620,610,610,610,620,630,640,640,620,380,320,320,340,320,330,320,25330
"100 Parliament Street, London",District Heating,kWh,2010-12-22,340,330,330,330,330,340,330,330,330,340,330,340,370,440,480,760,770,750,740,700,680,670,660,650,650,630,630,630,620,610,610,610,610,610,600,610,620,630,620,640,640,380,330,330,340,340,340,340,24640
"100 Parliament Street, London",District Heating,kWh,2010-12-23,340,350,350,340,350,360,350,360,350,370,360,380,390,490,520,790,800,790,770,730,720,700,650,670,650,650,640,650,630,620,620,620,610,620,620,620,620,630,630,630,630,380,320,330,330,340,330,340,25340
"100 Parliament Street, London",District Heating,kWh,2010-12-24,340,340,340,340,350,340,350,350,350,350,360,360,390,470,500,790,800,800,770,770,740,720,690,690,680,670,660,650,660,660,650,650,670,660,670,660,670,670,670,670,670,390,340,340,350,340,360,350,26060
"100 Parliament Street, London",District Heating,kWh,2010-12-25,350,350,340,330,350,340,340,340,340,350,350,350,360,390,370,670,670,670,650,640,630,620,620,600,590,600,590,590,600,590,590,580,590,590,590,590,590,590,590,590,590,380,360,360,360,360,360,370,23610
"100 Parliament Street, London",District Heating,kWh,2010-12-26,360,370,360,370,370,380,370,380,370,380,380,380,390,410,400,730,730,720,710,690,680,670,660,650,620,620,610,610,600,600,590,580,600,590,590,580,580,590,580,580,570,370,350,330,350,340,340,340,24420
"100 Parliament Street, London",District Heating,kWh,2010-12-27,340,340,350,330,340,330,310,310,320,320,320,310,330,410,330,650,640,650,630,610,600,590,570,570,570,560,560,550,550,540,540,540,530,540,540,540,540,540,530,530,530,330,290,310,300,310,300,300,21870
"100 Parliament Street, London",District Heating,kWh,2010-12-28,360,330,330,330,320,330,330,330,320,330,320,320,320,350,340,650,640,610,640,590,570,570,550,540,530,520,520,520,500,500,490,480,490,470,480,470,480,470,460,470,460,290,270,270,270,270,270,260,20530
"100 Parliament Street, London",District Heating,kWh,2010-12-29,270,280,270,270,270,280,270,260,280,270,270,270,270,350,360,580,600,590,570,560,540,530,510,510,510,500,500,470,470,470,450,450,430,450,440,440,450,460,460,460,460,270,240,240,250,250,240,250,18840
"100 Parliament Street, London",District Heating,kWh,2010-12-30,240,250,240,250,250,250,250,260,250,260,250,270,270,340,370,560,600,600,590,580,550,550,540,520,520,510,490,490,490,490,490,490,490,500,500,500,490,510,510,510,510,290,260,260,270,270,250,260,19440
"100 Parliament Street, London",District Heating,kWh,2010-12-31,270,270,260,260,270,260,270,270,260,270,270,270,280,370,370,590,620,600,590,580,570,540,540,520,520,510,500,510,500,490,490,490,490,490,490,480,500,490,500,490,500,280,250,250,250,260,250,260,19610
"100 Parliament Street, London",District Heating,kWh,2011-01-01,250,250,250,240,250,250,250,250,250,260,250,250,260,270,250,480,500,490,480,470,470,460,440,450,440,430,420,430,410,410,420,400,420,420,420,430,430,430,420,430,440,270,260,260,260,270,260,260,17060
"100 Parliament Street, London",District Heating,kWh,2011-01-02,260,260,270,260,330,280,290,280,290,290,290,290,300,320,310,540,570,560,550,530,530,530,510,470,480,470,470,460,460,460,460,460,450,460,520,430,460,440,520,480,490,330,290,300,300,300,300,310,19210
"100 Parliament Street, London",District Heating,kWh,2011-01-03,290,300,310,310,310,300,310,310,300,310,310,310,320,360,330,580,610,610,590,580,560,560,540,540,490,500,500,500,490,500,500,490,490,490,490,490,490,490,490,480,490,310,290,350,310,310,310,310,20410
"100 Parliament Street, London",District Heating,kWh,2011-01-04,310,310,320,270,300,290,300,290,300,310,290,310,310,420,430,680,700,690,670,650,620,570,570,550,550,550,540,530,520,530,530,530,530,540,520,530,540,540,550,560,540,310,280,280,280,280,270,280,21570
"100 Parliament Street, London",District Heating,kWh,2011-01-05,280,280,270,280,270,280,270,270,280,270,280,280,300,380,390,650,670,650,630,610,590,560,520,510,510,490,480,490,500,490,490,480,500,490,490,490,480,490,480,460,470,290,240,240,240,240,250,240,19790
"100 Parliament Street, London",District Heating,kWh,2011-01-06,240,250,240,250,250,250,250,250,250,260,260,260,280,350,360,560,580,570,550,560,550,540,520,510,500,500,490,500,510,520,500,510,500,500,500,500,510,510,510,510,520,340,260,260,270,270,270,280,19480
"100 Parliament Street, London",District Heating,kWh,2011-01-07,260,270,280,270,270,240,270,280,300,280,290,280,310,380,410,640,640,640,620,600,590,560,540,530,510,490,500,530,510,450,440,430,420,420,420,420,420,420,430,420,430,270,220,230,230,230,220,230,19040
"100 Parliament Street, London",District Heating,kWh,2011-01-08,230,230,220,220,230,220,220,220,220,220,230,220,230,230,230,400,450,430,430,420,410,400,390,380,390,400,400,410,410,420,410,400,420,410,420,420,430,430,440,440,450,280,260,260,260,290,310,290,16130
"100 Parliament Street, London",District Heating,kWh,2011-01-09,270,280,280,280,280,280,280,280,290,290,290,290,300,310,310,560,590,580,560,540,540,530,500,460,460,470,450,440,440,440,430,440,440,440,440,440,450,450,450,490,500,320,290,280,300,290,300,290,18910
"100 Parliament Street, London",District Heating,kWh,2011-01-10,290,300,300,310,300,310,310,300,310,300,310,290,300,460,390,670,610,560,590,580,560,540,530,500,470,460,460,450,440,440,450,440,450,450,450,460,460,480,470,480,490,290,250,240,260,250,250,260,19520
"100 Parliament Street, London",District Heating,kWh,2011-01-11,260,260,260,260,260,260,260,270,270,270,270,270,280,360,370,590,590,580,570,540,510,500,490,480,480,470,460,460,470,480,470,470,460,460,460,470,470,470,490,480,500,310,250,260,250,260,260,250,18890
"100 Parliament Street, London",District Heating,kWh,2011-01-12,260,260,260,260,260,260,260,260,260,270,260,260,270,350,350,540,570,540,520,500,480,450,430,400,390,390,370,370,370,360,370,350,360,350,360,360,350,360,370,360,350,240,190,190,190,190,190,190,16100
"100 Parliament Street, London",District Heating,kWh,2011-01-13,200,200,190,200,200,190,200,190,200,200,200,200,200,250,260,370,400,400,390,390,370,350,330,340,320,320,320,310,320,320,310,320,310,310,310,320,320,340,340,340,340,230,180,180,180,190,170,180,13200
"100 Parliament Street, London",District Heating,kWh,2011-01-14,180,180,190,180,180,190,180,190,180,190,180,180,190,230,250,350,380,380,390,380,360,360,350,340,340,340,330,340,340,340,330,340,330,360,350,350,340,350,360,360,360,230,180,190,190,190,200,190,13390
"100 Parliament Street, London",District Heating,kWh,2011-01-15,200,190,190,190,190,200,200,180,190,190,190,180,190,190,200,280,360,370,350,350,340,330,330,320,320,310,320,320,320,310,310,320,300,310,310,310,310,310,310,320,310,210,180,180,190,190,190,190,12550
"100 Parliament Street, London",District Heating,kWh,2011-01-16,190,190,180,190,190,190,190,180,190,190,190,190,180,190,190,310,360,360,360,350,340,320,310,310,310,320,300,310,310,310,310,320,310,320,310,310,320,320,320,310,320,200,180,190,180,190,190,180,12480
"100 Parliament Street, London",District Heating,kWh,2011-01-17,190,190,190,190,200,190,190,190,200,190,200,200,200,360,260,390,430,440,460,440,420,410,420,400,400,390,400,410,400,410,410,400,390,380,390,390,380,400,400,400,400,260,200,200,210,210,220,220,15220
"100 Parliament Street, London",District Heating,kWh,2011-01-18,220,220,220,230,220,230,230,230,230,240,230,240,250,340,340,500,540,530,530,510,510,470,470,440,430,420,400,400,410,390,400,400,400,410,410,410,420,430,440,440,450,270,230,280,240,250,240,250,16990
"100 Parliament Street, London",District Heating,kWh,2011-01-19,250,250,250,240,250,260,260,260,270,260,260,280,290,370,410,590,630,630,610,590,570,510,480,490,470,450,440,430,430,420,420,410,410,400,410,430,440,440,450,450,460,280,240,250,240,230,250,240,18350
"100 Parliament Street, London",District Heating,kWh,2011-01-20,240,250,240,250,240,250,260,250,260,250,260,270,280,360,390,550,590,580,560,540,540,530,510,490,470,450,460,450,450,420,460,440,430,450,440,440,440,460,470,470,470,300,240,260,250,240,250,250,18400
"100 Parliament Street, London",District Heating,kWh,2011-01-21,250,250,250,250,260,250,260,260,260,260,310,280,300,370,390,570,600,600,580,580,580,580,560,560,540,530,520,510,520,500,480,490,480,480,510,520,520,530,550,560,560,350,280,290,290,290,290,290,20290
"100 Parliament Street, London",District Heating,kWh,2011-01-22,290,280,290,280,280,290,290,280,280,290,280,290,280,310,300,500,510,520,520,520,470,480,490,470,470,450,450,440,440,430,430,420,420,410,410,410,420,410,420,400,410,280,240,250,260,250,260,250,17820
"100 Parliament Street, London",District Heating,kWh,2011-01-23,250,250,260,250,250,250,240,260,240,250,250,240,260,250,260,450,490,470,470,450,460,450,430,430,420,410,400,410,400,400,390,400,390,400,390,400,390,400,400,390,400,260,240,240,250,240,240,250,16370
"100 Parliament Street, London",District Heating,kWh,2011-01-24,240,260,250,260,250,260,250,250,260,250,260,260,270,420,340,530,560,560,570,540,510,490,460,460,470,450,430,450,430,430,420,430,430,430,430,430,450,450,470,460,470,290,240,240,250,240,250,250,18050
"100 Parliament Street, London",District Heating,kWh,2011-01-25,250,250,260,250,260,260,250,260,250,250,250,260,260,340,350,510,550,530,520,500,480,470,460,420,430,410,400,410,400,400,390,390,390,390,380,400,390,410,410,410,410,260,210,210,210,210,210,220,16790
"100 Parliament Street, London",District Heating,kWh,2011-01-26,210,220,210,220,210,220,220,220,220,220,220,230,240,310,330,470,500,490,480,480,450,440,430,430,420,420,400,400,390,390,390,400,400,430,430,440,450,460,470,480,490,340,250,260,260,260,270,270,16840
"100 Parliament Street, London",District Heating,kWh,2011-01-27,280,290,290,280,270,280,290,280,280,280,290,300,310,380,420,650,650,650,650,620,600,570,440,510,520,510,510,500,500,490,490,490,490,490,490,500,510,520,540,530,550,370,300,290,290,280,290,290,20600
"100 Parliament Street, London",District Heating,kWh,2011-01-28,300,300,290,300,300,290,300,300,300,310,300,310,330,390,430,630,700,700,670,650,620,600,600,590,570,570,560,570,560,560,570,540,540,550,550,550,570,580,590,580,590,400,330,310,310,320,310,310,22400
"100 Parliament Street, London",District Heating,kWh,2011-01-29,310,310,300,300,300,300,290,300,300,310,300,300,310,320,310,530,560,570,570,550,550,550,540,520,530,520,520,510,510,510,510,510,510,510,510,500,510,510,510,510,510,360,320,320,320,310,320,310,20460
"100 Parliament Street, London",District Heating,kWh,2011-01-30,320,320,320,320,310,320,320,320,320,330,320,330,330,330,340,560,610,600,590,570,560,530,500,500,500,490,490,490,480,480,470,470,470,510,520,510,510,500,500,500,500,350,310,310,310,310,310,300,20460
"100 Parliament Street, London",District Heating,kWh,2011-01-31,310,310,310,320,330,320,320,330,320,330,320,330,330,450,430,590,720,740,700,670,590,590,580,560,560,530,530,520,520,670,570,530,530,540,560,560,560,570,580,590,590,370,310,330,330,330,340,330,22650
